pump,fermenter,filtration,distillation,dehydration,diameter,friction_factor,energy_return,composite_score
Premium,World-Class,Scrap,Scrap,Scrap,0.15,0.002,5.380947234974897,51.617364419755646
Premium,World-Class,Scrap,Scrap,Scrap,0.15,0.01,5.380947234974897,51.617364419755646
Premium,World-Class,Scrap,Scrap,Scrap,0.15,0.02,5.380947234974897,51.617364419755646
Premium,World-Class,Scrap,Scrap,Scrap,0.15,0.03,5.380947234974897,51.617364419755646
Premium,World-Class,Scrap,Scrap,Scrap,0.15,0.04,5.380947234974897,51.617364419755646
Premium,World-Class,Scrap,Scrap,Scrap,0.15,0.05,5.380947234974897,51.617364419755646
Premium,World-Class,Scrap,Scrap,Scrap,0.14,0.002,5.380946338379999,51.61735511389757
Premium,World-Class,Scrap,Scrap,Scrap,0.14,0.01,5.380946338379999,51.61735511389757
Premium,World-Class,Scrap,Scrap,Scrap,0.14,0.02,5.380946338379999,51.61735511389757
Premium,World-Class,Scrap,Scrap,Scrap,0.14,0.03,5.380946338379999,51.61735511389757
