pump,fermenter,filtration,distillation,dehydration,diameter,friction_factor,daily_cost,composite_score
Cheap,Scrap,Scrap,Premium,Scrap,0.1,0.002,8511.296024735911,65.51845097036387
Cheap,Scrap,Scrap,Premium,Scrap,0.1,0.01,8511.296024735911,65.51845097036387
Cheap,Scrap,Scrap,Premium,Scrap,0.1,0.02,8511.296024735911,65.51845097036387
Cheap,Scrap,Scrap,Premium,Scrap,0.1,0.03,8511.296024735911,65.51845097036387
Cheap,Scrap,Scrap,Premium,Scrap,0.1,0.04,8511.296024735911,65.51845097036387
Cheap,Scrap,Scrap,Premium,Scrap,0.1,0.05,8511.296024735911,65.51845097036387
Cheap,Scrap,Scrap,Premium,Scrap,0.11,0.002,8511.296024735911,65.5184718849537
Cheap,Scrap,Scrap,Premium,Scrap,0.11,0.01,8511.296024735911,65.5184718849537
Cheap,Scrap,Scrap,Premium,Scrap,0.11,0.02,8511.296024735911,65.5184718849537
Cheap,Scrap,Scrap,Premium,Scrap,0.11,0.03,8511.296024735911,65.5184718849537
