pump,fermenter,filtration,distillation,dehydration,diameter,friction_factor,facility_cost,daily_cost,energy_return,threshold_flow,score_build_cost,score_op_cost,score_power_return,score_flow_threshold,composite_score
Cheap,Premium,Scrap,Average,Scrap,0.15,0.002,200000,10251.739091356236,4.859692548920441,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
Cheap,Premium,Scrap,Average,Scrap,0.15,0.01,200000,10251.739091356236,4.859692548920441,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
Cheap,Premium,Scrap,Average,Scrap,0.15,0.02,200000,10251.739091356236,4.859692548920441,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
Cheap,Premium,Scrap,Average,Scrap,0.15,0.03,200000,10251.739091356236,4.859692548920441,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
Cheap,Premium,Scrap,Average,Scrap,0.15,0.04,200000,10251.739091356236,4.859692548920441,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
Cheap,Premium,Scrap,Average,Scrap,0.15,0.05,200000,10251.739091356236,4.859692548920441,0.04,100.0,90.84707385931904,81.06443889649337,53.33333333333333,84.65427082494539
Cheap,Premium,Scrap,Average,Scrap,0.14,0.002,200000,10251.739091356236,4.8596918516714585,0.04,100.0,90.84707385931904,81.06441356760703,53.33333333333333,84.65426358812071
Cheap,Premium,Scrap,Average,Scrap,0.14,0.01,200000,10251.739091356236,4.8596918516714585,0.04,100.0,90.84707385931904,81.06441356760703,53.33333333333333,84.65426358812071
Cheap,Premium,Scrap,Average,Scrap,0.14,0.02,200000,10251.739091356236,4.8596918516714585,0.04,100.0,90.84707385931904,81.06441356760703,53.33333333333333,84.65426358812071
Cheap,Premium,Scrap,Average,Scrap,0.14,0.03,200000,10251.739091356236,4.8596918516714585,0.04,100.0,90.84707385931904,81.06441356760703,53.33333333333333,84.65426358812071
